soil_moisture,current_temperature,current_humidity,minutes_since_last_watering,water_requirement_level,root_depth_cm,drought_tolerance,soil_type_encoded,soil_compaction,slope_degrees,hour_of_day,day_of_year,season,should_water,duration_minutes,intensity_percent,crop_name,soil_type
58.7,36.4,48.7,259,2,100,4,1,75.0,0.3,14,178,2,0,0,0,chickpea,sandy
33.5,19.0,62.9,190,2,120,4,2,64.2,0.9,4,288,3,1,5,52,barley,loam
26.5,21.9,59.3,949,3,30,3,2,84.2,1.0,23,234,2,1,25,36,onion,loam
30.6,14.0,66.3,1414,3,60,2,1,58.2,1.7,7,337,3,1,10,63,peas,sandy
24.5,8.1,72.5,488,3,140,3,2,20.8,5.8,19,23,4,1,25,42,wheat_soft,loam
38.5,11.9,59.5,489,4,60,2,1,70.0,1.3,6,98,1,1,9,85,potato,sandy
0.0,15.5,61.3,2228,4,300,3,2,45.2,4.2,6,34,4,1,78,38,date_palm,loam
50.6,22.7,56.7,280,2,250,5,2,73.3,1.4,10,68,4,0,0,0,olive,loam
0.0,30.5,54.8,704,4,150,2,3,80.8,1.9,19,215,2,1,90,20,melon,clay
25.9,11.3,77.0,318,4,150,2,2,27.9,5.6,22,116,1,1,50,42,lemon,loam
4.1,35.3,43.7,315,4,150,2,2,21.6,1.5,14,229,2,1,82,38,orange,loam
76.8,22.9,57.1,442,2,250,5,2,44.2,6.6,7,309,3,0,0,0,olive,loam
0.0,36.0,43.6,1428,4,150,2,3,58.7,0.9,11,246,2,1,90,27,orange,clay
64.0,23.7,54.0,363,3,140,3,3,75.2,6.6,6,173,2,0,0,0,wheat_soft,clay
35.3,35.6,39.5,627,3,150,3,1,55.4,2.8,14,202,2,1,5,85,wheat_durum,sandy
10.8,28.5,41.9,306,4,25,1,2,46.0,7.6,15,148,1,1,72,30,lettuce,loam
38.6,10.8,74.7,206,4,60,2,3,70.3,0.2,3,357,4,1,47,35,zucchini,clay
24.7,16.1,66.1,1813,4,180,2,1,42.3,1.0,7,67,4,1,24,61,watermelon,sandy
21.8,15.0,71.4,853,3,80,3,2,24.7,7.4,16,363,4,1,30,42,fava_bean,loam
4.5,19.6,58.7,1410,4,60,2,2,40.9,18.7,17,95,1,1,90,25,tomato,loam
0.0,23.2,53.6,1479,3,50,3,2,67.8,1.2,17,83,1,1,64,38,pepper_hot,loam
0.0,33.3,48.0,516,4,150,2,2,49.8,15.8,8,247,2,1,90,25,melon,loam
0.0,45.2,28.3,1060,3,30,2,1,63.6,6.1,13,264,2,1,30,31,coriander,sandy
31.0,17.1,64.8,761,3,60,2,1,57.4,7.3,6,114,1,1,10,51,peas,sandy
0.0,30.0,45.1,2101,3,30,3,2,64.0,2.0,14,134,1,1,56,38,onion,loam
0.0,30.5,36.3,831,3,30,3,2,62.9,0.5,11,149,1,1,56,38,garlic,loam
0.0,38.4,37.6,1137,4,60,2,2,79.8,1.9,15,243,2,1,89,22,tomato,loam
53.4,33.1,43.2,206,4,300,3,2,23.6,1.1,16,187,2,0,0,0,date_palm,loam
59.8,23.4,53.3,217,3,140,3,3,38.7,1.6,8,116,1,0,0,0,wheat_soft,clay
62.4,8.1,74.9,1824,3,140,3,1,42.4,0.9,1,106,1,0,0,0,wheat_soft,sandy
100.0,18.8,65.1,530,4,60,2,2,26.0,4.0,12,60,4,0,0,0,tomato,loam
26.6,19.9,63.6,995,4,150,2,1,25.4,1.5,16,363,4,1,17,63,lemon,sandy
35.5,29.7,45.4,213,3,80,3,1,60.7,1.3,10,325,3,1,6,85,fava_bean,sandy
0.0,30.0,58.0,2808,3,80,3,3,66.1,0.6,14,307,3,1,84,27,fava_bean,clay
71.7,30.5,51.8,68,3,150,3,2,66.2,0.7,7,176,2,0,0,0,wheat_durum,loam
3.8,35.3,53.6,309,2,250,5,3,81.7,1.2,17,220,2,1,39,20,olive,clay
41.9,20.5,72.2,179,3,60,2,1,77.4,1.2,0,220,2,1,5,59,peas,sandy
2.1,34.4,41.2,653,3,50,2,2,34.3,1.5,10,250,2,1,61,38,cabbage,loam
76.0,27.7,49.2,115,2,120,4,2,69.1,0.8,16,180,2,0,0,0,barley,loam
31.3,19.9,70.6,470,4,180,2,2,58.4,4.1,19,272,3,1,41,52,watermelon,loam
22.2,12.2,67.0,551,4,150,2,2,40.2,0.7,7,357,4,1,42,52,lemon,loam
0.0,37.3,45.3,1346,4,60,2,3,58.9,0.5,13,268,3,1,90,27,zucchini,clay
14.9,11.7,67.8,703,3,30,3,1,84.6,0.8,18,78,4,1,22,32,garlic,sandy
34.6,5.0,78.2,377,3,140,3,2,79.9,6.5,0,27,4,1,11,29,wheat_soft,loam
0.0,25.2,52.6,2117,3,50,2,1,47.1,0.8,10,55,4,1,32,46,cabbage,sandy
0.0,30.6,61.4,1268,3,80,3,2,77.3,1.3,8,270,3,1,58,26,fava_bean,loam
0.0,37.1,37.2,1177,2,120,4,1,55.5,2.5,9,175,2,1,15,46,barley,sandy
51.2,9.6,68.5,2349,4,180,2,2,24.4,6.4,4,21,4,1,14,56,watermelon,loam
47.6,23.6,68.1,1075,3,50,2,1,46.4,14.9,7,314,3,1,5,55,cabbage,sandy
0.0,31.5,46.9,2025,2,100,4,2,81.8,0.2,9,277,3,1,30,26,chickpea,loam
37.7,18.8,54.2,1285,3,150,3,2,70.3,11.4,7,116,1,1,8,31,wheat_durum,loam
0.0,33.1,48.6,1303,2,250,5,2,49.5,1.7,12,277,3,1,25,38,olive,loam
72.3,8.0,75.7,871,3,140,3,2,37.1,0.9,19,22,4,0,0,0,wheat_soft,loam
63.9,16.6,68.3,561,4,60,2,2,45.9,4.9,21,134,1,0,0,0,tomato,loam
32.4,23.4,50.9,987,4,60,2,1,67.5,3.9,16,95,1,1,12,63,potato,sandy
0.0,30.9,40.5,330,4,180,2,2,58.7,3.8,14,138,1,1,90,38,watermelon,loam
0.0,35.4,38.5,1311,3,150,3,1,22.7,4.1,15,185,2,1,25,46,wheat_durum,sandy
0.0,21.5,55.2,1096,4,25,1,2,72.7,6.3,12,37,4,1,89,21,lettuce,loam
0.0,30.3,44.8,1181,4,75,2,3,48.1,1.5,15,128,1,1,90,27,eggplant,clay
46.9,17.7,73.5,928,4,180,2,1,30.7,2.2,22,260,2,1,9,85,watermelon,sandy
42.2,38.2,37.5,247,3,80,3,2,69.4,14.5,10,209,2,1,8,38,fava_bean,loam
51.0,9.0,80.2,1978,3,30,3,1,25.0,1.0,6,24,4,1,5,85,onion,sandy
100.0,5.0,72.1,1957,2,250,5,2,23.8,19.4,23,85,1,0,0,0,olive,loam
15.1,23.9,61.5,1013,4,300,3,1,60.4,2.8,19,200,2,1,29,46,date_palm,sandy
0.0,33.5,53.8,1313,3,50,3,1,52.8,2.1,8,268,3,1,29,46,pepper_hot,sandy
0.0,29.2,49.4,2351,3,60,2,1,33.3,17.2,12,57,4,1,30,30,peas,sandy
74.4,28.3,53.7,283,3,60,2,2,58.1,0.6,12,91,1,0,0,0,peas,loam
5.9,21.9,66.7,1608,2,250,5,2,56.1,7.1,10,317,3,1,22,30,olive,loam
35.8,36.3,44.3,80,4,150,2,2,47.2,1.4,11,247,2,0,0,0,lemon,loam
0.0,20.2,60.4,1260,4,75,2,2,37.8,0.1,17,100,1,1,90,38,eggplant,loam
0.0,35.7,47.8,1085,3,80,3,2,74.4,1.5,11,223,2,1,56,26,fava_bean,loam
0.0,29.2,54.6,2727,2,250,5,2,71.1,0.5,14,132,1,1,25,26,olive,loam
19.3,20.7,63.0,987,4,150,2,1,74.5,0.2,15,320,3,1,29,32,lemon,sandy
63.2,23.0,58.3,528,4,150,2,1,65.5,8.8,5,237,2,0,0,0,orange,sandy
74.3,12.3,72.1,431,2,250,5,3,84.0,0.7,5,348,3,0,0,0,olive,clay
0.0,21.0,61.5,647,4,60,2,3,63.3,2.6,14,349,3,1,90,27,tomato,clay
67.1,39.4,36.3,218,2,250,5,1,60.7,7.5,12,241,2,0,0,0,olive,sandy
40.2,25.5,55.0,279,2,250,5,2,51.5,6.4,18,250,2,0,0,0,olive,loam
39.7,16.5,79.3,469,3,50,3,1,45.9,0.2,8,363,4,1,5,85,pepper_hot,sandy
15.6,21.5,56.6,888,3,30,3,1,47.8,0.7,9,47,4,1,19,46,onion,sandy
0.0,27.4,54.4,2525,2,250,5,2,64.8,1.8,14,107,1,1,25,38,olive,loam
24.3,15.0,68.8,1182,4,30,2,1,25.8,0.3,16,29,4,1,19,63,parsley,sandy
0.0,39.2,33.8,1016,2,100,4,1,27.8,1.2,13,253,2,1,14,39,chickpea,sandy
24.2,15.5,73.0,465,3,30,3,1,25.4,1.5,23,275,3,1,7,63,garlic,sandy
61.0,31.3,55.0,100,4,25,1,3,44.0,7.2,7,224,2,0,0,0,lettuce,clay
0.0,37.7,35.0,538,4,30,2,3,43.1,1.0,14,196,2,1,90,27,parsley,clay
59.3,20.5,61.3,408,3,30,3,2,27.0,0.2,8,315,3,0,0,0,garlic,loam
7.8,40.2,37.7,82,4,25,1,3,49.2,0.9,14,235,2,0,0,0,lettuce,clay
28.9,11.8,65.4,307,4,60,2,1,54.2,0.8,6,36,4,1,17,63,tomato,sandy
57.9,7.7,78.9,407,5,90,1,2,36.5,0.5,5,50,4,1,16,70,cucumber,loam
6.4,40.2,48.1,329,3,150,3,1,78.1,1.6,12,227,2,1,21,27,wheat_durum,sandy
0.0,33.1,43.2,1831,4,50,2,3,48.4,5.0,8,154,1,1,90,22,pepper_sweet,clay
0.0,19.7,59.1,968,4,75,2,2,22.5,1.4,18,130,1,1,90,38,eggplant,loam
100.0,26.4,67.3,287,4,60,2,1,66.9,0.9,6,258,2,0,0,0,potato,sandy
23.3,29.5,42.9,363,4,150,2,2,66.9,0.6,18,230,2,1,45,52,lemon,loam
0.0,24.6,60.4,2557,3,140,3,1,33.6,7.5,8,287,3,1,25,37,wheat_soft,sandy
8.6,18.7,62.8,2491,3,60,2,1,24.3,2.3,10,45,4,1,26,46,peas,sandy
33.9,32.5,51.7,255,3,150,3,2,57.4,0.8,6,217,2,1,9,52,wheat_durum,loam
31.3,38.6,42.1,650,2,120,4,1,60.6,0.2,12,278,3,0,0,0,barley,sandy
0.0,43.5,39.4,2052,4,150,2,1,45.0,1.0,13,268,3,1,44,39,orange,sandy
3.6,20.1,58.5,813,4,60,2,2,80.7,0.2,14,318,3,1,84,26,tomato,loam
58.5,19.9,62.4,430,4,75,2,2,76.9,1.9,15,45,4,0,0,0,eggplant,loam
0.0,31.2,53.7,1929,3,60,2,2,52.2,0.3,16,288,3,1,61,38,peas,loam
67.6,36.7,41.8,608,4,30,2,1,48.2,5.3,7,191,2,0,0,0,parsley,sandy
56.8,5.0,72.7,1223,2,120,4,1,38.8,1.4,5,4,4,0,0,0,barley,sandy
0.0,34.5,48.9,432,4,150,2,2,79.4,16.5,12,173,2,1,89,20,lemon,loam
0.0,22.5,53.1,1579,4,75,2,2,81.0,5.1,18,124,1,1,90,21,eggplant,loam
34.2,34.1,55.2,248,2,120,4,1,28.6,5.9,7,183,2,1,5,51,barley,sandy
0.0,24.0,59.3,1368,4,75,2,1,34.7,0.9,17,299,3,1,50,46,eggplant,sandy
0.0,24.8,52.4,2293,3,150,3,1,67.5,1.3,10,334,3,1,25,46,wheat_durum,sandy
0.0,12.0,79.9,1368,4,50,2,2,20.2,1.5,18,351,3,1,90,38,pepper_sweet,loam
66.8,7.8,68.4,353,4,150,2,1,55.5,4.2,2,44,4,0,0,0,lemon,sandy
19.0,26.4,61.8,684,2,250,5,1,41.8,1.0,17,209,2,1,7,46,olive,sandy
1.3,20.5,60.1,973,3,150,3,1,79.1,14.4,9,15,4,1,25,21,wheat_durum,sandy
0.0,36.1,49.5,703,3,40,3,1,44.5,1.7,11,186,2,1,28,46,carrot,sandy
0.0,31.7,46.2,1776,3,30,3,1,74.0,1.3,13,117,1,1,28,32,garlic,sandy
36.7,34.9,49.1,110,4,60,2,2,80.3,1.7,6,212,2,1,36,49,tomato,loam
17.5,40.3,39.4,250,3,140,3,2,84.6,0.1,12,226,2,1,30,22,wheat_soft,loam
47.5,11.2,66.6,1026,2,250,5,1,70.0,1.9,19,322,3,0,0,0,olive,sandy
100.0,8.3,72.8,966,3,150,3,2,53.3,1.1,20,46,4,0,0,0,wheat_durum,loam
0.0,31.4,43.0,1272,5,40,1,2,23.4,7.6,13,84,1,1,90,30,mint,loam
47.9,33.2,47.2,132,4,150,2,1,65.2,0.9,10,239,2,1,6,85,orange,sandy
0.0,40.9,37.1,2666,2,250,5,3,25.3,11.3,13,161,1,1,37,20,olive,clay
0.0,39.3,31.2,486,4,300,3,2,58.6,1.3,13,185,2,1,74,32,date_palm,loam
62.3,10.5,69.0,943,3,80,3,2,25.6,4.0,19,1,4,0,0,0,fava_bean,loam
32.7,5.0,83.9,1254,3,30,3,2,68.6,2.6,22,72,4,1,13,52,onion,loam
0.0,34.7,38.8,1748,3,150,3,1,84.7,0.2,11,143,1,1,25,32,wheat_durum,sandy
18.4,19.5,62.2,350,3,40,3,3,21.0,1.5,6,143,1,1,54,27,turnip,clay
23.3,24.2,61.6,201,5,40,1,2,35.6,1.9,16,327,3,1,55,52,mint,loam
0.0,28.6,60.7,843,3,80,3,2,31.3,1.0,8,163,1,1,58,38,fava_bean,loam
3.0,26.0,64.3,888,5,40,1,2,55.2,7.0,7,179,2,1,90,30,mint,loam
0.0,33.0,47.3,1980,4,150,2,2,24.9,7.0,16,270,3,1,89,30,lemon,loam
57.7,38.2,40.0,564,2,100,4,1,54.6,1.6,14,184,2,0,0,0,chickpea,sandy
0.0,23.8,51.6,1219,4,75,2,2,38.2,4.2,10,75,4,1,90,38,eggplant,loam
70.6,14.1,60.9,707,3,60,2,2,28.8,1.6,6,67,4,0,0,0,peas,loam
35.2,13.4,66.5,1626,4,75,2,3,74.2,0.1,22,125,1,1,54,35,eggplant,clay
0.0,19.4,65.0,762,4,180,2,2,39.3,0.4,17,280,3,1,90,38,watermelon,loam
38.0,22.7,57.7,482,3,50,2,2,23.9,13.8,18,136,1,1,21,45,cabbage,loam
0.0,26.1,35.4,1318,3,50,3,1,80.1,4.9,15,108,1,1,28,32,pepper_hot,sandy
13.8,17.9,59.9,1651,4,60,2,1,62.4,5.1,18,38,4,1,39,37,zucchini,sandy
0.0,30.4,51.0,2819,4,25,2,2,25.9,0.8,11,289,3,1,89,38,strawberry,loam
0.0,21.1,60.7,2505,4,60,2,1,38.3,10.0,12,353,3,1,40,37,potato,sandy
0.0,19.2,66.5,1695,3,50,2,3,37.2,7.7,6,120,1,1,90,22,cabbage,clay
85.6,16.9,63.6,239,4,150,2,1,27.9,5.1,7,306,3,0,0,0,orange,sandy
0.0,29.9,54.5,1385,4,75,2,3,34.2,0.9,8,170,1,1,90,27,eggplant,clay
80.4,19.6,60.2,877,3,140,3,1,34.0,0.3,9,24,4,0,0,0,wheat_soft,sandy
0.0,35.1,50.0,651,4,60,2,3,40.9,3.2,9,252,2,1,90,27,potato,clay
0.0,35.3,48.7,2070,4,25,1,1,21.3,0.0,13,294,3,1,44,46,lettuce,sandy
0.0,17.3,64.9,1132,3,30,2,2,62.5,6.4,11,59,4,1,61,30,coriander,loam
0.0,14.3,62.8,1328,4,60,2,2,48.5,2.0,18,25,4,1,90,38,potato,loam
57.3,21.6,65.2,297,4,50,2,2,45.8,0.4,10,329,3,1,5,70,cauliflower,loam
0.0,31.1,50.9,1797,3,140,3,1,72.7,0.7,8,296,3,1,25,32,wheat_soft,sandy
45.9,6.1,77.7,1075,3,40,3,3,55.7,1.4,1,18,4,1,5,50,turnip,clay
57.0,24.3,64.2,273,4,25,1,3,43.4,1.5,22,226,2,1,5,50,lettuce,clay
19.3,5.6,82.1,2360,3,30,3,3,81.0,6.2,0,79,4,1,50,20,onion,clay
69.7,7.6,71.5,908,3,80,3,1,76.1,0.6,22,351,3,0,0,0,fava_bean,sandy
60.5,33.9,51.2,167,3,30,3,2,29.5,1.7,15,195,2,0,0,0,onion,loam
0.0,26.2,53.9,2294,2,250,5,2,60.7,1.6,10,305,3,1,26,38,olive,loam
0.0,29.5,49.4,921,4,60,2,3,44.0,1.1,19,164,1,1,90,27,potato,clay
42.4,28.0,51.8,290,3,50,3,3,63.0,3.8,18,250,2,1,10,50,pepper_hot,clay
45.2,5.0,79.7,1308,3,150,3,3,71.3,19.1,1,88,1,1,7,22,wheat_durum,clay
11.0,25.1,51.9,1349,3,150,3,1,40.3,1.4,14,355,3,1,18,46,wheat_durum,sandy
5.9,18.0,66.0,854,3,140,3,2,56.7,1.6,18,67,4,1,50,38,wheat_soft,loam
36.4,25.0,49.1,560,4,150,2,2,80.6,0.2,6,158,1,1,40,51,orange,loam
0.0,25.0,48.0,781,4,150,2,2,80.3,4.3,12,81,1,1,89,26,lemon,loam
20.4,27.0,49.9,329,2,100,4,2,51.6,0.1,19,210,2,1,12,52,chickpea,loam
0.0,38.7,39.3,1165,2,120,4,2,40.2,2.4,14,224,2,1,29,32,barley,loam
23.5,15.4,58.7,1191,3,80,3,2,56.0,1.7,17,48,4,1,24,52,fava_bean,loam
45.8,21.2,67.6,935,3,140,3,3,76.8,0.8,19,265,2,1,7,35,wheat_soft,clay
7.7,15.9,61.6,1060,4,60,2,3,75.7,5.2,6,83,1,1,90,20,potato,clay
0.0,33.9,47.6,717,4,180,2,2,30.5,0.7,11,244,2,1,90,38,watermelon,loam
0.0,26.9,54.2,1106,4,30,2,2,35.2,1.5,16,155,1,1,89,38,parsley,loam
47.9,21.8,60.1,467,4,25,2,1,54.6,6.9,6,138,1,1,6,68,strawberry,sandy
0.0,16.1,70.9,1504,4,150,2,3,37.6,1.8,18,120,1,1,90,27,orange,clay
25.4,33.4,56.9,336,4,25,1,1,47.1,0.5,7,252,2,1,19,63,lettuce,sandy
0.0,28.6,46.4,843,5,40,1,3,71.2,3.6,13,105,1,1,90,20,mint,clay
35.2,20.7,60.0,199,4,300,3,2,60.5,1.6,17,352,3,1,18,70,date_palm,loam
0.0,16.1,69.0,1249,4,60,2,2,81.7,2.0,17,40,4,1,90,26,potato,loam
8.7,19.0,57.9,367,4,75,2,2,53.9,5.8,8,66,4,1,79,30,eggplant,loam
33.6,35.1,44.3,310,2,250,5,3,29.5,0.6,16,241,2,1,7,37,olive,clay
22.9,22.7,55.3,1304,3,80,3,2,22.0,5.6,19,125,1,1,33,42,fava_bean,loam
38.9,8.2,73.0,2422,2,250,5,2,54.2,1.3,2,46,4,1,5,70,olive,loam
0.0,21.7,53.8,667,3,40,3,2,32.1,10.8,11,39,4,1,56,25,carrot,loam
0.0,23.9,60.8,2380,3,30,2,1,54.3,0.8,10,117,1,1,32,46,coriander,sandy
0.0,31.4,49.6,2383,3,30,2,1,70.5,1.1,14,270,3,1,30,32,coriander,sandy
0.0,30.5,52.4,1327,4,300,3,3,60.6,1.0,16,245,2,1,90,27,date_palm,clay
14.4,18.3,57.1,840,2,250,5,2,63.7,18.1,7,339,3,1,15,25,olive,loam
0.0,26.6,46.8,1886,2,120,4,1,63.8,6.0,13,79,4,1,14,37,barley,sandy
35.4,40.8,40.5,213,3,30,3,2,47.7,1.1,15,220,2,1,11,59,onion,loam
18.8,28.0,51.6,190,4,50,2,2,48.1,5.0,12,272,3,1,60,38,cauliflower,loam
3.8,40.5,45.8,638,2,250,5,2,79.1,7.0,12,228,2,1,22,20,olive,loam
78.2,19.3,63.0,2155,4,150,2,1,77.8,0.6,16,8,4,0,0,0,lemon,sandy
100.0,11.5,71.2,1358,4,25,2,2,26.1,7.3,5,337,3,0,0,0,strawberry,loam
0.0,24.9,59.8,1244,2,250,5,3,64.0,0.6,8,289,3,1,40,27,olive,clay
0.0,29.1,52.9,2248,4,180,2,2,35.9,4.8,8,132,1,1,90,38,watermelon,loam
0.0,38.3,46.7,527,4,180,2,1,21.7,0.1,12,192,2,1,47,39,watermelon,sandy
56.3,32.6,45.7,1078,2,250,5,1,26.9,0.5,7,235,2,0,0,0,olive,sandy
11.5,30.6,50.1,264,5,90,1,2,39.1,7.3,19,216,2,1,90,30,cucumber,loam
59.0,27.2,59.0,100,2,250,5,2,55.7,1.6,17,244,2,0,0,0,olive,loam
0.0,26.0,54.7,931,4,150,2,2,68.3,0.6,16,87,1,1,89,38,orange,loam
0.0,31.4,42.9,715,2,120,4,2,24.2,1.4,11,196,2,1,29,38,barley,loam
48.5,18.6,60.0,309,3,150,3,2,32.4,9.6,16,84,1,0,0,0,wheat_durum,loam
17.8,21.8,66.0,327,4,50,2,2,29.0,6.0,0,224,2,1,54,30,pepper_sweet,loam
16.6,34.8,48.3,1203,2,120,4,1,82.9,0.3,7,212,2,1,8,32,barley,sandy
0.0,18.5,61.8,792,4,50,2,2,67.3,2.2,15,331,3,1,81,38,pepper_sweet,loam
34.5,21.7,51.7,281,3,150,3,2,59.3,0.0,17,51,4,1,9,52,wheat_durum,loam
9.5,29.6,59.7,612,3,140,3,3,24.7,1.0,6,247,2,1,61,27,wheat_soft,clay
57.8,16.0,77.2,88,3,80,3,2,62.1,0.9,0,181,2,0,0,0,fava_bean,loam
0.0,26.6,51.5,1737,3,40,3,1,26.4,0.5,8,129,1,1,29,46,carrot,sandy
0.0,24.9,55.7,654,5,40,1,2,38.8,16.5,17,122,1,1,90,25,mint,loam
56.4,18.0,65.0,1138,3,140,3,2,33.0,17.9,7,348,3,0,0,0,wheat_soft,loam
51.9,22.3,65.2,638,3,30,3,1,62.2,1.0,12,313,3,0,0,0,onion,sandy
0.0,23.1,58.8,2424,4,25,1,3,60.7,9.1,18,158,1,1,90,22,lettuce,clay
0.0,30.9,42.9,773,4,60,2,2,26.1,1.8,13,123,1,1,81,38,potato,loam
0.0,12.6,70.4,2259,3,30,3,2,69.3,0.6,8,26,4,1,58,38,onion,loam
0.0,26.6,46.5,1698,4,50,2,2,26.5,0.9,13,111,1,1,81,38,pepper_sweet,loam
0.0,20.1,52.6,948,3,40,3,2,47.7,2.2,12,2,4,1,56,38,carrot,loam
16.0,25.7,59.7,2308,2,100,4,1,46.4,1.4,9,304,3,1,8,46,chickpea,sandy
10.7,20.3,61.2,457,2,100,4,2,78.7,0.6,16,87,1,1,21,26,chickpea,loam
0.0,31.1,44.3,568,4,75,2,2,20.2,3.0,10,140,1,1,90,38,eggplant,loam
0.0,22.0,59.6,691,4,300,3,2,21.3,1.5,14,332,3,1,74,38,date_palm,loam
0.0,32.1,45.1,1258,4,150,2,2,38.0,1.9,11,277,3,1,89,38,orange,loam
36.2,35.1,44.3,630,2,250,5,1,37.2,1.4,11,265,2,0,0,0,olive,sandy
0.0,29.3,50.2,547,5,90,1,2,37.2,4.2,14,297,3,1,90,38,cucumber,loam
0.0,24.2,55.7,2263,4,50,2,2,68.4,3.0,4,172,1,1,81,38,pepper_sweet,loam
36.8,18.4,68.7,364,3,80,3,1,33.1,0.8,16,334,3,1,5,85,fava_bean,sandy
35.6,12.0,68.6,1210,3,30,3,1,49.9,1.1,6,348,3,1,6,85,onion,sandy
40.9,26.4,56.1,82,3,150,3,3,28.0,1.3,19,239,2,0,0,0,wheat_durum,clay
0.0,23.0,68.1,1093,4,75,2,3,61.2,6.5,16,282,3,1,90,22,eggplant,clay
24.9,33.6,50.8,464,3,60,2,3,31.6,0.3,7,192,2,1,51,37,peas,clay
35.7,28.5,52.2,731,2,120,4,2,55.0,1.8,10,319,3,1,5,70,barley,loam
8.4,42.2,32.9,299,3,40,3,2,47.0,4.0,10,227,2,1,47,32,carrot,loam
55.6,24.7,53.7,825,2,120,4,1,27.2,15.3,13,40,4,0,0,0,barley,sandy
0.0,16.3,67.6,1681,4,60,2,3,40.9,0.4,7,331,3,1,90,27,tomato,clay
51.6,9.4,69.9,1265,3,50,2,1,52.9,3.9,6,49,4,1,5,85,cabbage,sandy
0.0,23.5,53.6,593,4,75,2,2,61.7,0.3,14,100,1,1,89,38,eggplant,loam
0.0,23.5,55.2,1139,2,100,4,2,70.8,15.8,8,323,3,1,30,20,chickpea,loam
48.1,10.6,68.9,712,3,80,3,2,70.4,2.0,6,40,4,1,7,49,fava_bean,loam
88.8,13.1,72.5,371,4,60,2,1,67.8,4.7,1,281,3,0,0,0,potato,sandy
0.0,21.1,52.8,761,4,30,2,1,54.3,6.8,15,107,1,1,44,37,parsley,sandy
100.0,8.7,78.8,1208,2,250,5,1,35.3,2.1,0,324,3,0,0,0,olive,sandy
32.9,24.4,55.4,861,3,150,3,2,68.8,0.6,6,180,2,1,10,52,wheat_durum,loam
0.0,35.1,40.9,1601,3,40,3,1,45.0,0.5,13,128,1,1,28,46,turnip,sandy
58.3,7.1,74.1,387,4,150,2,3,59.7,0.9,6,89,1,1,5,50,orange,clay
47.7,9.8,68.8,761,4,30,2,1,82.7,1.7,6,43,4,1,6,59,parsley,sandy
0.0,34.1,47.6,471,2,250,5,3,40.6,1.0,15,207,2,1,37,27,olive,clay
0.0,33.8,42.5,1014,4,150,2,2,81.6,7.1,10,122,1,1,90,21,melon,loam
21.7,30.1,49.3,645,2,120,4,1,30.7,0.5,8,131,1,1,5,63,barley,sandy
12.7,25.0,56.6,1144,3,30,3,2,38.4,0.6,19,194,2,1,47,38,onion,loam
3.5,24.0,68.8,1056,3,150,3,1,45.5,1.3,16,295,3,1,22,46,wheat_durum,sandy
49.3,33.9,39.6,139,5,40,1,1,28.4,1.9,7,205,2,1,10,85,mint,sandy
19.9,17.8,61.5,2422,2,250,5,3,31.3,3.2,4,158,1,1,16,27,olive,clay
22.2,21.9,58.7,287,3,80,3,2,66.8,1.9,7,304,3,1,23,52,fava_bean,loam
70.7,15.0,66.1,299,3,80,3,2,24.8,1.8,6,5,4,0,0,0,fava_bean,loam
31.2,19.4,69.5,1169,3,150,3,2,39.0,8.9,0,281,3,1,15,42,wheat_durum,loam
14.5,26.7,68.7,757,3,140,3,1,54.6,3.2,18,252,2,1,19,46,wheat_soft,sandy
0.0,28.8,59.1,754,3,50,3,2,69.1,1.9,17,197,2,1,64,38,pepper_hot,loam
19.1,37.3,49.6,534,4,60,2,1,66.8,1.8,14,229,2,1,29,46,zucchini,sandy
14.1,13.6,72.6,1681,2,250,5,3,55.9,1.5,21,285,3,1,26,27,olive,clay
34.1,22.6,61.0,267,2,120,4,3,43.6,3.0,5,250,2,1,7,37,barley,clay
20.6,22.7,62.4,328,3,30,3,2,64.7,5.3,17,128,1,1,37,42,onion,loam
24.2,24.0,55.5,628,2,250,5,2,47.2,0.5,5,138,1,1,5,52,olive,loam
0.0,29.4,51.4,947,4,25,2,2,67.4,0.6,9,108,1,1,90,38,strawberry,loam
29.4,33.6,55.6,495,3,80,3,2,30.6,0.7,8,181,2,1,17,52,fava_bean,loam
0.0,17.5,62.3,1221,3,80,3,1,67.5,8.6,17,79,4,1,32,37,fava_bean,sandy
34.6,18.1,65.8,767,2,120,4,1,82.9,4.5,6,120,1,1,7,44,barley,sandy
32.8,5.0,78.1,1788,4,60,2,3,25.2,0.1,21,360,4,1,56,37,potato,clay
0.0,36.2,44.3,1332,3,150,3,1,68.4,0.5,16,265,2,1,25,46,wheat_durum,sandy
17.4,20.0,62.5,763,3,150,3,1,57.4,0.8,6,129,1,1,15,46,wheat_durum,sandy
41.9,5.0,84.1,304,4,75,2,3,37.7,1.8,22,26,4,1,28,50,eggplant,clay
0.0,42.2,36.4,508,4,50,2,2,46.0,3.1,14,262,2,1,89,32,cauliflower,loam
16.8,30.2,50.2,207,5,90,1,1,30.1,1.2,11,125,1,1,49,46,cucumber,sandy
1.4,23.2,63.8,559,3,40,3,2,73.5,0.6,18,268,3,1,61,26,turnip,loam
77.4,16.5,65.4,900,3,50,2,2,30.5,18.3,6,338,3,0,0,0,cabbage,loam
42.9,9.6,74.0,1094,4,25,1,1,66.2,3.1,19,87,1,1,10,85,lettuce,sandy
